Org,LenServ,Sum
WHO,Less than 5 years,"3,481"
UNICEF,Less than 5 years,"5,979"
UNHCR,Less than 5 years,4723
UNDP,Less than 5 years,"2,822"
UN,Less than 5 years,"10,189"
WHO,5 to 10 years,"1,467"
UNICEF,5 to 10 years,"2,941"
UNHCR,5 to 10 years,"1,994"
UNDP,5 to 10 years,"1,980"
UN,5 to 10 years,"12,251"
WHO,10 to 15 years,"2,199"
UNICEF,10 to 15 years,"1,853"
UNHCR,10 to 15 years,"1,214"
UNDP,10 to 15 years,104
UN,10 to 15 years,"6,903"
WHO,15 to 20 years,521
UNICEF,15 to 20 years,1061
UNHCR,15 to 20 years,680
UNDP,15 to 20 years,639
UN,15 to 20 years,"2,722"
WHO,20 to 25 years,161
UNICEF,20 to 25 years,501
UNHCR,20 to 25 years,716
UNDP,20 to 25 years,310
UN,20 to 25 years,876
WHO,25 or more years,220
UNICEF,25 or more years,471
UNHCR,25 or more years,413
UNDP,25 or more years,332
UN,25 or more years,"1,229"